                                                              List of roles
   Role name    |                         Attributes                         |                         Member of                          
----------------+------------------------------------------------------------+------------------------------------------------------------
 aabigbhuayxpmg | Cannot login                                              +| {}
                | 20 connections                                             | 
 aaxugboplzuvxh | 20 connections                                             | {}
 aayttzarmbwchk | 20 connections                                             | {}
 abctxhvfaxehui | 20 connections                                             | {}
 abfianfjsldxpb | 20 connections                                             | {}
 abgqrxvqdjwrmj | 20 connections                                             | {}
 ablvyigelmtpkv | 20 connections                                             | {}
 abmwwaojkhouvi | Cannot login                                              +| {}
                | 20 connections                                             | 
 abpppjbevaefod | Cannot login                                              +| {}
                | 20 connections                                             | 
 abqptkjsyzceth | 20 connections                                             | {}
 abymhwovgilghf | 20 connections                                             | {}
 abyxognzxagmxm | 20 connections                                             | {}
 abzexfpuecprxm | 20 connections                                             | {}
 acevnroedeuimm | Cannot login                                              +| {}
                | 20 connections                                             | 
 acioneiawbhwow | 20 connections                                             | {}
 acuuuwhetpdvnu | 20 connections                                             | {}
 acxdnkopyilisz | Cannot login                                              +| {}
                | 20 connections                                             | 
 adcysquuqhcimu | 20 connections                                             | {}
 adjpbpvtoekcey | 20 connections                                             | {}
 adkwbuabmgiybk | Cannot login                                              +| {}
                | 20 connections                                             | 
 adsgutdvkptpdz | Cannot login                                              +| {}
                | 20 connections                                             | 
 adtggtwjpyqqub | Cannot login                                              +| {}
                | 20 connections                                             | 
 aedbeuihylflri | Cannot login                                              +| {}
                | 20 connections                                             | 
 aeemaxdppzjocd | 20 connections                                             | {}
 aeinkabiynfozf | 20 connections                                             | {}
 aekvikcojbynrs | 20 connections                                             | {}
 aeljuvudwhxlmv | 20 connections                                             | {}
 aespqiwiyvkrbr | 20 connections                                             | {}
 aewbdvagcnomja | Cannot login                                              +| {}
                | 20 connections                                             | 
 aexxvrxavytjpb | 20 connections                                             | {}
 aeyvgnfpvsvbjj | 20 connections                                             | {}
 aezddyqcqspumt | Cannot login                                              +| {}
                | 20 connections                                             | 
 aezeegxsorhbmm | 20 connections                                             | {}
 afciocrcjremkl | Cannot login                                              +| {}
                | 20 connections                                             | 
 afexcpkaheytvy | Cannot login                                              +| {}
                | 20 connections                                             | 
